Table 32: Expected Change in Prices During the Next Year
Quarter,Year,Down,Same,Up by 1-2%,Up by 3-4%,Up by 5%,Up by 6-9%,Up by 10-14%,Up by 15%+,Up; DK how much,DK; NA,Mean,Variance,Standard Deviation,25th Percentile,Median,75th Percentile,Interquartile Range (75th-25th),
3,2020,6,19,15,19,15,4,10,2,9,1,3.4,19,4.3,0.5,2.9,5.1,4.6,
4,2020,6,20,19,18,13,5,7,2,9,1,3.1,16,4,0.5,2.6,4.9,4.4,
1,2021,3,13,19,20,13,6,10,4,12,0,4.1,18,4.3,1.3,3.1,5.4,4.1,
2,2021,3,7,16,21,16,7,10,8,12,0,5.4,31,5.5,2.2,4.1,7,4.9,
3,2021,3,7,13,21,17,9,11,10,8,1,5.9,38,6.2,2.5,4.6,8.4,5.9,
4,2021,5,7,11,17,17,10,12,13,8,0,6.4,46,6.8,2.6,4.9,9.7,7.1,
1,2022,4,6,9,18,18,12,14,12,7,0,6.7,43,6.6,2.9,5.1,9.8,6.9,
2,2022,5,7,8,15,17,14,15,15,4,0,7.9,84,9.2,3,5.3,10,7,
3,2022,8,13,8,13,15,12,12,15,3,1,7,97,9.9,1.5,4.9,9.7,8.3,
4,2022,8,13,8,15,15,12,11,15,3,0,7.1,105,10.2,1.6,4.8,9.7,8.1,
